id_x,ticker,date,title,url,id_y,link_id,summary
1,89bio,2024-03-12,89bio Initiates Phase 3 ENLIGHTEN-Fibrosis Trial of Pegozafermin in Non-Cirrhotic Metabolic Dysfunction-Associated Steatohepatitis (MASH) Patients with Fibrosis,https://ir.89bio.com/news-releases/news-release-details/89bio-initiates-phase-3-enlighten-fibrosis-trial-pegozafermin,1,1,89bio Initiates Phase 3 ENLIGHTEN-Fibrosis Trial of Pegozafermin in Non-Cirrhotic Metabolic Dysfunction-Associated Steatohepatitis (MASH) Patients with Fibrosis. The co-primary endpoints will be assessed at week 52 and are intended to support a filing for accelerated approval in the U.S. and conditional approval in Europe.
2,89bio,2024-03-08,89bio Announces Inducement Grant Under Nasdaq Listing Rule 5635(c)(4),https://ir.89bio.com/news-releases/news-release-details/89bio-announces-inducement-grant-under-nasdaq-listing-rule-0,2,2,89bio Initiates Phase 3 ENLIGHTEN-Fibrosis Trial of Pegozafermin in Non-Cirrhotic Metabolic Dysfunction-Associated Steatohepatitis (MASH) Patients with Fibrosis. The co-primary endpoints will be assessed at week 52 and are intended to support a filing for accelerated approval in the U.S. and conditional approval in Europe.
3,89bio,2024-03-05,89bio to Participate in the Leerink Partners Global Biopharma Conference,https://ir.89bio.com/news-releases/news-release-details/89bio-participate-leerink-partners-global-biopharma-conference,3,3,89bio Initiates Phase 3 ENLIGHTEN-Fibrosis Trial of Pegozafermin in Non-Cirrhotic Metabolic Dysfunction-Associated Steatohepatitis (MASH) Patients with Fibrosis. The co-primary endpoints will be assessed at week 52 and are intended to support a filing for accelerated approval in the U.S. and conditional approval in Europe.
4,Acumen Pharmaceuticals,2024-03-12,Acumen Pharmaceuticals to Participate in the Stifel 2024 CNS Days,https://investors.acumenpharm.com/news-releases/news-release-details/acumen-pharmaceuticals-participate-stifel-2024-cns-days,4,4,"Acumen Pharmaceuticals, Inc. is a clinical-stage biopharmaceutical company developing a novel therapeutic that targets toxic soluble amyloid beta oligomers for the treatment of Alzheimer’s disease. Management will participate in a fireside chat as part of the Stifel 2024 CNS Days on Tuesday, March 19, 2024, at 12:00 p.m. ET. The live webcast may be accessed under the Investors tab on www.acumenpharm.com."
5,Acumen Pharmaceuticals,2024-03-08,Acumen Pharmaceuticals Presents Sabirnetug (ACU193) Fluid Biomarker and Target Engagement Analyses from Phase 1 INTERCEPT-AD Study in Early Alzheimer’s at the AD/PD™ 2024 Annual Meeting,https://investors.acumenpharm.com/news-releases/news-release-details/acumen-pharmaceuticals-presents-sabirnetug-acu193-fluid,5,5,"Acumen Pharmaceuticals Presents Sabirnetug (ACU193) Fluid Biomarker and Target Engagement Analyses from Phase 1 INTERCEPT-AD Study in Early Alzheimer’s at the AD/PD™ 2024 Annual Meeting. Key findings include Improvements in biomarkers associated with AD pathology, including significantly lowered CSF neurogranin and pTau181 levels."
6,Acumen Pharmaceuticals,2024-02-21,Acumen Pharmaceuticals to Present Sabirnetug (ACU193) Fluid Biomarker and Target Engagement Analyses from Phase 1 INTERCEPT-AD Study in Early Alzheimer’s at the AD/PD™ 2024 Annual Meeting,https://investors.acumenpharm.com/news-releases/news-release-details/acumen-pharmaceuticals-present-sabirnetug-acu193-fluid-biomarker,6,6,Acumen Pharmaceuticals to present Sabirnetug (ACU193) Fluid Biomarker and Target Engagement Analyses from Phase 1 INTERCEPT-AD Study in Early Alzheimer’s at the AD/PD™ 2024 Annual Meeting. ACU193 is the first humanized monoclonal antibody to demonstrate selective target engagement of AβOs.
7,Alto Neuroscience,2024-03-11,"Alto Neuroscience Appoints Maha Radhakrishnan, M.D., to Board of Directors",https://investors.altoneuroscience.com/news/news-details/2024/Alto-Neuroscience-Appoints-Maha-Radhakrishnan-M.D.-to-Board-of-Directors/default.aspx,7,7,"Alto Neuroscience, Inc. (“Alto”) (NYSE: ANRO) announced the appointment of Maha Radhakrishnan, M.D., to the company’s board of directors. Maha recently served as group senior vice president and chief medical officer of Biogen, responsible for the worldwide medical function, until March 2024."
8,Alto Neuroscience,2024-03-07,Alto Neuroscience to Participate in Upcoming Investor Conferences,https://investors.altoneuroscience.com/news/news-details/2024/Alto-Neuroscience-to-Participate-in-Upcoming-Investor-Conferences/default.aspx,8,8,"Alto Neuroscience, Inc. (“Alto”) today announced that company management will participate in the following upcoming investor conferences. The fireside chats will be available via live webcast on the Events and Presentations page in the Investors section of Alto’s website."
9,Alto Neuroscience,2024-02-27,Alto Neuroscience to Present at the TD Cowen 44th Annual Healthcare Conference,https://investors.altoneuroscience.com/news/news-details/2024/Alto-Neuroscience-to-Present-at-the-TD-Cowen-44th-Annual-Healthcare-Conference/default.aspx,9,9,"Alto Neuroscience, Inc. (“Alto”) (NYSE: ANRO) announced that Amit Etkin, M.D., Ph.D. will present a company overview at the TD Cowen 44th Annual Healthcare Conference on March 5, 2024. The presentation will be available via live webcast on the Events and Presentations page in the Investors section of Alto’s website."
10,Alto Neuroscience,2024-03-20,Stifel 2024 Virtual CNS Days,https://investors.altoneuroscience.com/events-and-presentations/event-details/2024/Stifel-2024-Virtual-CNS-Days/default.aspx,10,10,"To opt-in for investor email alerts, please enter your email address in the field below and select at least one alert option. After submitting your request, you will receive an activation email to the requested email address. You can unsubscribe to any of the investor alerts you are subscribed to by visiting the ‘unsubscribe’ section below."
